Reason,count
"- ""Save the more vulnerable""",43
"- ""Saving more lives is greater good""",21
"- ""Sacrifice the guilty one""",14
"- ""Save the one who will have the potential to do more future contribution to society""",11
"- ""Human lives are more valuable than animal lives""",10
"- ""Save the more vulnerable (specifically due to the hope that both sides may survive)""",9
"- ""Save the one with longer life ahead of them""",6
"- ""Other reason""",6
"- ""Save the stronger""",4
"- ""Everyone's life is equivalent, so we should prioritize nobody""",1
"- ""Save the one with more dependents living on them""",1
